title,original,type,kids,age_rating,popularity,year,seasons,episodes,genres,audio,subtitles,cover,url,description
Chinas,Chinas,movie,,12,0.5,2023,0,1,drama,Spanish (Spain) - Original; Polish; Czech; Hungarian,English; Czech; Serbian (Latin); Slovenian; Bulgarian; Croatian; Macedonian; Polish; Romanian (Moldova); Hungarian,https://images.cdn.prd.api.discomax.com/wz7HY/thzaSjii00q4zY6qw.jpeg,https://play.hbomax.com/movie/c3328040-1e2e-4799-bb62-adbb0244c9b1,"At a school in Madrid, two 9-year-old Chinese girls meet. Everyone assumes that they will become friends, but absolutely nothing brings them together."
Chris Brown: A History of Violence,Chris Brown: A History of Violence,movie,,9,0.4,2024,10,6,crime; documentary,English - Original; Russian; Slovak; Lithuanian; Polish; Hungarian; Bulgarian; French; Turkish; Spanish (Spain); German,Dutch; Macedonian; Slovak; English; Slovenian; Bulgarian; Czech; Finnish; Swedish; Norwegian (Bokmål); Danish; Hungarian; Romanian (Moldova); Greek; Croatian; Serbian (Latin); Estonian; Portuguese; Polish; Turkish; French; Spanish (Spain); Spanish (Spain) - SDH; Hebrew; Italian,https://images.cdn.prd.api.discomax.com/jNUcU/uXE72Wzhp2E_yRIyw.jpeg,https://play.hbomax.com/movie/424ade8b-1cc9-45cc-9ca2-d03d63b703ec,"From childhood to fame, domestic violence has shaped Chris Brown's life. For the first time, an alleged victim speaks out."
Chris Fleming: Live at the Palace,Chris Fleming: Live at the Palace,movie,,12,0.7,2026,0,4,comedy,English - Original; Polish; English - Audio Description,English - CC; Spanish (Latin America); English; Portuguese (Brazil); Croatian; Macedonian; Bulgarian; Czech; Hungarian; French; Swedish; Spanish (Spain); Dutch; Finnish; Danish; Portuguese; Norwegian (Bokmål); German; Turkish; Latvian; Hebrew; Ukrainian; Russian; Greek; Estonian; Lithuanian; Italian; Polish; Slovenian; Serbian (Latin); Romanian (Moldova),https://images.cdn.prd.api.discomax.com/6Px2H/MAukrHbLksKJFq7jg.jpeg,https://play.hbomax.com/movie/bd06a15f-cfa8-462e-bb19-7e5669665c8a,"In his debut HBO special, comedian Chris Fleming bursts onto the screen with his infectious energy and singular voice."
Christina in the Country,Christina in the Country,series,,AL,0.2,2023,1,6,food-home,English - Original,Serbian (Latin); English; Croatian; Macedonian; Slovenian; English - SDH,https://images.cdn.prd.api.discomax.com/XTHwK/tJh2dp5xRCo_8qQdA.jpeg,https://play.hbomax.com/show/aab6c266-5854-4207-a05d-bf21a129bbe8,Real estate expert and designer Christina expands her design business across the country and puts down roots in Tennessee.
Christmas Carole,Christmas Carole,movie,,AL,0.3,2022,0,3,drama; comedy,English; Czech; Polish; Hungarian,English; Romanian (Moldova); Czech; Macedonian; Slovenian; Serbian (Latin); Bulgarian; Polish; Hungarian,https://images.cdn.prd.api.discomax.com/qaGNT/RSLtBDVDFvpzUlNRQ.jpeg,https://play.hbomax.com/movie/f1abe7ab-cf94-4ecd-8fd8-8fb5bb746e93,"Meet Carole McKay, she doesn't love Christmas at all. But this Christmas Eve, Carole's past, present and future are about to collide."
Christmas Cookie Challenge,Christmas Cookie Challenge,series,yes,AL,1.2,2015,1,8,food-home; kids-family,English - Original,Serbian (Latin); English; English - SDH; Slovenian; Macedonian; Croatian,https://images.cdn.prd.api.discomax.com/IjJjz/Fi665EsSJbKvPS2UA.jpeg,https://play.hbomax.com/show/2a19454b-639a-4166-ab05-e5715e00bb10,"Bakers compete to make awesome holiday cookies in hopes of winning $10,000."
Christmas Eve in Miller’s Point,Christmas Eve in Miller’s Point,movie,,AL,0.0,2024,0,5,drama; comedy,English - Original; Hungarian; Polish; Czech,English; Croatian; Slovenian; Serbian (Latin); Czech; Macedonian; Bulgarian; Hungarian; Polish; Romanian (Moldova),https://images.cdn.prd.api.discomax.com/cSiDu/B9i3g6M9hJfYgy0nA.jpeg,https://play.hbomax.com/movie/10c5b145-5416-4951-91b0-0aff46780dee,"A family gathers on Christmas Eve, possibly their last in the ancestral home. As tensions build, a teenager sneaks out to explore the wintry suburb."
Christmas in the Spotlight,Christmas in the Spotlight,movie,,AL,0.6,2024,0,5,romance; comedy,English - Original; Czech; Hungarian; Polish,English; Czech; Romanian (Moldova); Macedonian; Serbian (Latin); Croatian; Slovenian; Bulgarian; Hungarian; Polish,https://images.cdn.prd.api.discomax.com/4wI8s/oxIxB_sh-4E30uD7Q.jpeg,https://play.hbomax.com/movie/896607e2-5739-49b5-bfd7-e29b81795653,A pop star and a rebellious football player discover that the magic of Christmas can turn a casual romance into true love.
Ciao House,Ciao House,series,,AL,0.8,2023,2,8,food-home; reality,English - Original,Macedonian; English; Slovenian; Croatian; Serbian (Latin),https://images.cdn.prd.api.discomax.com/X_Yu2/ZExBzBFyoPPvWe1Aw.jpeg,https://play.hbomax.com/show/106edfc6-a8a1-44e9-8280-58999652c871,Skilled chefs share an Italian villa where they must prove their mastery of Italian cuisine to win a culinary education with chefs across Italy.
Cinema Verite,Cinema Verite,movie,,12,0.9,2011,10,3,drama,Czech; English - Original; Hungarian; Polish; French,Macedonian; Estonian; Romanian (Moldova); Danish; Serbian (Latin); Norwegian (Bokmål); Latvian; Lithuanian; Czech; Slovenian; Polish; Swedish; Croatian; English; Finnish; Hungarian; Bulgarian; Dutch; French,https://images.cdn.prd.api.discomax.com/J_ENK/mPXoARQxrab3ReIyg.jpeg,https://play.hbomax.com/movie/597b4685-b8da-4dbe-87ac-f9c17b1df7fb,The fact-based story of a Santa Barbara family who were catapulted to notoriety in the early 1970s in a groundbreaking PBS series.
Citizen U.S.A.: A 50 State Road Trip,Citizen U.S.A.: A 50 State Road Trip,movie,,AL,0.0,2011,0,1,documentary,Hungarian; Czech; English - Original; Polish,Hungarian; Romanian (Moldova); Polish; Croatian; Slovenian; Serbian (Latin); Bulgarian; Macedonian; Norwegian (Bokmål); Swedish; Czech; Dutch; Finnish; English; Danish,https://images.cdn.prd.api.discomax.com/qOtkS/cCILQ-Rrp_woIMH4A.jpeg,https://play.hbomax.com/movie/31eb641e-b748-4050-8d8e-f7338d7dd1e6,Alexandra Pelosi criss-crosses the U.S. to meet new Americans in this illuminating look at the naturalization process in America.
Citizen X,Citizen X,movie,,16,1.8,1995,6,6,crime; drama,Hungarian; Polish; Czech; English - Original,Bulgarian; Norwegian (Bokmål); Swedish; Latvian; Polish; Estonian; Serbian (Latin); Portuguese; Lithuanian; Slovenian; Danish; Hungarian; Romanian (Moldova); English; Macedonian; Dutch; Czech; Croatian; Finnish,https://images.cdn.prd.api.discomax.com/JrYT4/oOtFiede92foQhacg.jpeg,https://play.hbomax.com/movie/77fa7256-bb88-4b8b-825d-fd32ffec1a5c,A Russian police detective faces almost insurmountable odds in his search for the most savage serial killer of modern times.
City of God: The Fight Rages On,City of God: The Fight Rages On,series,,16,0.0,2024,1,8,crime; drama,French; English - Audio Description; English; Spanish (Latin America); Hungarian; Spanish (Spain); Czech; Portuguese (Brazil) - Original; Polish; Turkish; Russian; Ukrainian; Italian; German; Portuguese - Original; Portuguese (Brazil),Romanian (Moldova); Portuguese; Polish; Spanish (Spain); French; Swedish; Dutch; Finnish; Serbian (Latin); Hungarian; Portuguese (Brazil); Czech; Macedonian; Spanish (Latin America); Danish; English; Slovenian; Croatian; Norwegian (Bokmål); Bulgarian; Turkish; Icelandic; Greek; Lithuanian; Latvian; Estonian; Hebrew; Italian; German,https://images.cdn.prd.api.discomax.com/YYLJS/C-4iHSIln6HfRFvVw.jpeg,https://play.hbomax.com/show/1d353ef5-5634-4503-80e7-04da420cc352,"​Set two decades after the events of the acclaimed 2002 film, this series follows the lives of residents in Rio de Janeiro's City of God."
City of Lies,City of Lies,movie,,12,2.0,2018,3,1,crime; drama,English; Polish; Hungarian; Czech,Polish; Serbian (Latin); Bulgarian; Hungarian; Slovenian; English; Croatian; Macedonian; Czech; Romanian (Moldova),https://images.cdn.prd.api.discomax.com/md6ne/fAPSSz35l-1UToA9w.jpeg,https://play.hbomax.com/movie/13978535-79d1-4b0a-be64-d190af47bd45,Disgraced detective Russell Poole joins journalist Jack Jackson to uncover the truth behind the murders of music icons Tupac and The Notorious B.I.G.
City of Wind,City of Wind,movie,,AL,0.0,2023,0,1,drama,Czech; Polish; Hungarian,English; Czech; Romanian (Moldova); Slovenian; Bulgarian; Macedonian; Serbian (Latin); Croatian; Polish; Hungarian,https://images.cdn.prd.api.discomax.com/LKtJG/iJwv-DXdgZwm44nyQ.jpeg,https://play.hbomax.com/movie/fe44334a-6d22-4e3f-8c7c-901b74ac1629,"Ze is a shaman. He studies hard to succeed in life, while communing with the spirits of his ancestors. When Ze meets Maralaa, another reality appears."
CJ7,CJ7,movie,yes,6,0.0,2008,2,5,family; comedy,English; Czech; Hungarian; Polish; Mandarin - Original,Slovenian; Hungarian; Romanian (Moldova); English; Polish; Macedonian; Bulgarian; Serbian (Latin); Croatian; Czech,https://images.cdn.prd.api.discomax.com/kxGj7/DvUailYcjea6DVZZQ.jpeg,https://play.hbomax.com/movie/5c9a5f16-3382-46b1-8cd4-2b3e92a0ae8b,A poor father gets his son a toy that is a tad more than just ordinary. It's time to play!
Class Divide,Class Divide,movie,,AL,0.3,2016,0,2,documentary,Polish; English - Original,Polish; Danish; English; Croatian; Finnish; Serbian (Latin); Hungarian; Norwegian (Bokmål); Bulgarian; Macedonian; Swedish; Dutch; Czech; Romanian (Moldova); Slovenian,https://images.cdn.prd.api.discomax.com/ToU5K/xqG-OGsTcdPOZRx4A.jpeg,https://play.hbomax.com/movie/fedf602a-0084-4e9a-9f36-d80f727336ce,"A look at the effects of gentrification in West Chelsea, NYC, where affluent kids share a street with people from public-housing projects."
Cleaner,Cleaner,movie,,AL,10.4,2021,0,1,drama,English; Polish,English; Bulgarian; Czech; Romanian (Moldova); Hungarian; Polish; Macedonian; Serbian (Latin); Croatian; Slovenian,https://images.cdn.prd.api.discomax.com/PQ1xS/2TgaJIm1mtG09h-zQ.jpeg,https://play.hbomax.com/movie/d6bdff12-dba7-4246-8a3e-b1dcb7c303b0,A film about a shy domestic cleaner and a houseproud mother. A friendship blooms between these two women. Or is it just another work transaction?
Clear History,Clear History,movie,,9,1.4,2013,23,9,comedy,English - Original; Czech; Hungarian; Polish; French,Estonian; Hungarian; Polish; Romanian (Moldova); Lithuanian; Croatian; Latvian; Finnish; Czech; Swedish; Bulgarian; Slovenian; Danish; Macedonian; Portuguese; Serbian (Latin); Dutch; English; French,https://images.cdn.prd.api.discomax.com/xjsDV/jxRnjhNC87SRSGcwQ.jpeg,https://play.hbomax.com/movie/a1295165-5410-4aae-a50b-a8804d68f17f,Larry David is a disgraced former exec whose past humiliation threatens to disrupt his new life in this HBO Films comedy.
Clerks II,Clerks II,movie,,12,1.7,2006,0,1,comedy,English - Original; Polish; Czech; Hungarian,English; Romanian (Moldova); Serbian (Latin); Polish; Macedonian; Croatian; Slovenian; Bulgarian; Czech,https://images.cdn.prd.api.discomax.com/L8ixl/F6rDcxYM6Eep9hvjQ.jpeg,https://play.hbomax.com/movie/361c2199-7bb5-40a5-ae30-bab21218b495,"Years after we last saw them, Dante is still toiling behind a convenience store counter, and Randall is still annoying customers at the video shop."
Clerks III,Clerks III,movie,,14,1.7,2022,0,11,comedy,English - Original; English - Audio Description; Hungarian; Polish; Czech,Czech; Romanian (Moldova); English; Macedonian; Croatian; Slovenian; Serbian (Latin); Hungarian; Bulgarian; Polish,https://images.cdn.prd.api.discomax.com/k8_jl/-ugUfSbh6fEMwJqAg.jpeg,https://play.hbomax.com/movie/89f98068-436a-40be-a5d8-4a1c27cf8212,"Following a massive heart attack, Randal enlists his fellow clerks to make a movie immortalizing his life at the convenience store where it all began."
Click,Click,movie,,6,12.0,2006,0,1,comedy,Hungarian; Czech; English - Original; Polish,English; Macedonian; Hungarian; Serbian (Latin); Croatian; Slovenian; Bulgarian; Romanian (Moldova); Polish,https://images.cdn.prd.api.discomax.com/AAriM/YgP0xcaqSEbIupIpQ.jpeg,https://play.hbomax.com/movie/dad979fb-c4c6-4cc5-9a03-7f85717d5d8f,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life.
Clodagh,Clodagh,movie,,AL,0.1,2024,0,1,drama; european,English; Polish,Czech; Romanian (Moldova); Bulgarian; Hungarian; Polish; Serbian (Latin); Slovenian; English; Macedonian; Croatian,https://images.cdn.prd.api.discomax.com/t6mno/fGhgMlbC9k4AlZaig.jpeg,https://play.hbomax.com/movie/da3083f3-1a1f-4a7c-b2f5-4a353c7a77af,A lonely priest's housekeeper encounters a young Irish girl of exceptional promise.
Closer,Closer,movie,,12,12.1,2004,1,4,romance; drama,English - Original; Czech; Hungarian; Polish,Slovenian; Serbian (Latin); Croatian; Romanian (Moldova); Polish; Bulgarian; Hungarian; Macedonian; English; Czech,https://images.cdn.prd.api.discomax.com/tw1VB/ejLmVrcxWi_qI2aNg.jpeg,https://play.hbomax.com/movie/97252802-5b00-4ab3-ac15-5b8e112a2fe9,"Two couples are caught up in a story full of passion, sex and deceit starring Natalie Portman, Julia Roberts, Jude Law and Clive Owen."
Clouds of Chernobyl,Clouds of Chernobyl,movie,,12,0.0,2022,0,3,drama; european,Romanian (Moldova) - Original,Serbian (Latin); Croatian; Macedonian; English; Slovenian,https://images.cdn.prd.api.discomax.com/jxWda/LDuhL6LDJ0h7f6qLA.jpeg,https://play.hbomax.com/movie/7c6b07f7-f858-416b-8624-b0f6f5ea9f95,A young woman was forced to have an abortion because of the Chernobyl accident.
CN Stories,CN Stories,series,yes,AL,0.0,2023,2,10,kids-family; european,Croatian; Slovenian; English - Original,,https://images.cdn.prd.api.discomax.com/fssMk/rqKTk_2zaGoEruTOg.jpeg,https://play.hbomax.com/show/51af093e-e0bb-4f08-9ca3-5b0900ab6b1e,"CN Stories presents relaxing and hilarious audiobooks. In each episode, the narrator tells a story from somewhere within the Cartoon Network world."
Co-Ed Call Girl,Co-Ed Call Girl,movie,,6,0.5,1996,0,1,drama,Czech; Polish; English - Original,Croatian; Czech; Macedonian; Bulgarian; English; Slovenian; Polish; Serbian (Latin); Hungarian; Romanian (Moldova); Dutch,https://images.cdn.prd.api.discomax.com/qjgWb/EgC4jd6iyDKoaX48Q.jpeg,https://play.hbomax.com/movie/ec84da10-81b0-4c1a-abde-b9620bc7c508,Tori Spelling stars in this lurid exploration of a college student's descent into prostitution and crime.
Code Name: Wolverine,Code Name: Wolverine,movie,,12,0.4,1996,0,1,action; drama,Polish; English - Original; Czech,Czech; Hungarian; Slovenian; Romanian (Moldova); Dutch; Macedonian; Serbian (Latin); Bulgarian; English; Polish; Croatian,https://images.cdn.prd.api.discomax.com/dbb0R/ziUFDBSAPFlEhUL3A.jpeg,https://play.hbomax.com/movie/fb34701b-35bd-4c5e-b093-aca63926933a,"College professor and ex-Navy SEAL, Harry Gordini (Antonio Sabato Jr.), is forced back into action."
Codes and Conspiracies,Codes and Conspiracies,series,,12,0.6,2014,1,6,adventure-survival; documentaries,English,English - SDH; Croatian; Macedonian; Serbian (Latin); Slovenian,https://images.cdn.prd.api.discomax.com/07H2D/a-RbKA3lF6MnWnyyA.jpeg,https://play.hbomax.com/show/c64e43f7-56ae-4d7c-8252-b97f5b90d274,"Iconic places, incredible inventions and influential people are explored."
Collective,Collective,movie,,16,0.0,2019,10,7,crime; documentary; european,Polish; Romanian (Moldova) - Original,Latvian; Czech; English; Macedonian; Hungarian; Croatian; Bulgarian; Slovenian; Estonian; Polish; Lithuanian; Serbian (Latin),https://images.cdn.prd.api.discomax.com/QIX9R/PLeZxnbWBR9wlsDEw.jpeg,https://play.hbomax.com/movie/50af3992-b37c-4db1-856e-fb47eabf84ab,"Journalists try to uncover a vast health-care fraud in a fast-paced detective story about truth, accountability and the value of an independent press."
Cologne 75,Cologne 75,movie,,6,0.0,2025,3,9,drama; european,German - Original; Hungarian; Czech; Polish,English; Finnish; Danish; Norwegian (Bokmål); Swedish; German; Romanian (Moldova); Serbian (Latin); Croatian; Slovenian; Macedonian; Bulgarian; Czech; Polish; Hungarian,https://images.cdn.prd.api.discomax.com/sQxY7/7j1gUKkW1BuwdYIrw.jpeg,https://play.hbomax.com/movie/ac3ec962-005f-4f9b-89da-69c1ad14e16d,"In 1975, Vera Brandes goes against her parents' wishes and books the Cologne Opera House to bring Keith Jarrett to Cologne -- and makes music history."
Color Theories by Julio Torres,Color Theories by Julio Torres,movie,,AL,0.0,2026,0,3,comedy,English - Original; Polish; English - Audio Description,Spanish (Latin America) - CC; English - CC; Spanish (Latin America); English; Portuguese (Brazil); French; Spanish (Spain); Portuguese; Finnish; German; Norwegian (Bokmål); Danish; Dutch; Swedish; Hungarian; Croatian; Czech; Bulgarian; Macedonian; Russian; Latvian; Estonian; Hebrew; Ukrainian; Lithuanian; Turkish; Greek; Polish; Slovenian; Italian; Serbian (Latin); Romanian (Moldova),https://images.cdn.prd.api.discomax.com/zr2Cm/kTzFj9vhyWdcF_vag.jpeg,https://play.hbomax.com/movie/a9bcabbd-46f4-4c0b-9377-ba705f8812f3,"​In his second HBO comedy special, Julio Torres presents a helpful way to understand the world through his playful interpretation of color."
Colosio: Political Assassination,Colosio: Political Assassination,series,,12,0.0,2026,1,3,crime; documentaries,Spanish (Latin America) - Original,English - CC; Spanish (Latin America); Portuguese (Brazil); English; Dutch; Danish; Finnish; Swedish; Norwegian (Bokmål); French; Bulgarian; Hungarian; Macedonian; Croatian; Czech; Hebrew; Russian; Slovenian; Serbian (Latin); Romanian (Moldova); Polish; Italian; Portuguese; Spanish (Spain); German; Lithuanian; Estonian; Greek; Ukrainian; Turkish; Latvian,https://images.cdn.prd.api.discomax.com/L4_nP/rJ72VVeOetEt4tG7A.jpeg,https://play.hbomax.com/show/f647d2e9-d61f-4ec9-b378-92a892156e4d,This three-part docuseries chronicles the search for answers in the 1994 assassination of Mexican political candidate Luis Donaldo Colosio.
Coma,Coma,movie,,9,1.8,2007,1,3,documentary,Polish; English - Original,Polish; Hungarian; Swedish; Slovenian; Danish; Portuguese; Dutch; Bulgarian; Finnish; English - SDH; Norwegian (Bokmål); Romanian (Moldova); Czech; Serbian (Latin); Macedonian; Croatian,https://images.cdn.prd.api.discomax.com/M0rxI/IYy-5t6FvEGgHzWHw.jpeg,https://play.hbomax.com/movie/4c3521ea-c881-4ab4-848d-6f8aeab0edba,This film follows a year in the lives of four patients at JFK Medical Center's Center for Head Injuries as they emerge from comas.
Comeback,Comeback,movie,,12,1.4,2025,0,5,drama; european,Dutch - Original; Czech; Hungarian; Polish,English; Bulgarian; Hungarian; Romanian (Moldova); Macedonian; Serbian (Latin); Croatian; Slovenian; Czech; Polish,https://images.cdn.prd.api.discomax.com/yNhtD/0OpH1e2MPCH7Cq58w.jpeg,https://play.hbomax.com/movie/d85690fd-025e-4b71-9aec-cb975b733adb,"Ava, 14, navigates her divorced parents' contrasting worlds: Naomi, a former techno DJ chasing a comeback, and Dominique, who's embraced a quiet life."
Comic Sans,Comic Sans,movie,,12,0.1,2018,0,1,comedy; european,Croatian - Original,Bulgarian; Macedonian; Slovenian; English,https://images.cdn.prd.api.discomax.com/qbjrN/yWrKmAH5aO0UwCLIA.jpeg,https://play.hbomax.com/movie/aa989bbe-1acf-4232-90d2-a9d72f72d2b7,"Alan Despot goes to the island of Vis and finds himself torn between his eccentric father, an ex-girlfriend and her fiancé."
Coming From America,Coming From America,series,,AL,0.2,2024,1,6,reality,Polish; French; Spanish (Spain); Lithuanian; English - Original; Slovak,Polish; Serbian (Latin); Macedonian; Croatian; Slovenian; Swedish; Finnish; Danish; Norwegian (Bokmål); Dutch; Slovak; Bulgarian; Czech; French; Romanian (Moldova); Hungarian; Spanish (Spain); Portuguese; English,https://images.cdn.prd.api.discomax.com/lSC-b/DMbWBBYYQJasyl5Sw.jpeg,https://play.hbomax.com/show/aed6dbc0-420e-471c-840c-149cecb5702c,"Four African American families pack up all their belongings, risking everything to move to the new land of opportunity and cheap housing: Africa."
Commando,Commando,movie,,16,6.5,1985,0,1,action; drama,Hungarian; English - Original; Czech; Polish,English; Czech; Romanian (Moldova); Bulgarian; Croatian; Slovenian; Serbian (Latin); Macedonian; Hungarian; Polish,https://images.cdn.prd.api.discomax.com/WrI2E/njyC7fupzIUsuQTUg.jpeg,https://play.hbomax.com/movie/0107957b-9087-4ec9-8970-57100fd98cfd,Arnold Schwarzenegger races against time and impossible odds to save his daughter from terrorist kidnappers in this action epic.
Common Side Effects,Common Side Effects,series,,16,8.5,2025,1,11,adult-animation; comedy,English - Original; French; English - Audio Description; Spanish (Latin America); Portuguese (Brazil); Spanish (Spain); Czech; Hungarian; Polish,English - CC; French; Spanish (Latin America); Dutch; Swedish; Portuguese; Norwegian (Bokmål); Danish; Finnish; Slovenian; Macedonian; Hungarian; Croatian; Serbian (Latin); Bulgarian; Spanish (Spain); Portuguese (Brazil); Romanian (Moldova); Czech; Polish,https://images.cdn.prd.api.discomax.com/wf2lf/wfCCJ2jMbpeVav5wg.jpeg,https://play.hbomax.com/show/eaa21376-a54d-4245-95d6-a86dce6313c8,Former classmates Marshall and Frances uncover a sinister conspiracy to destroy a mushroom that can cure all the world's diseases.
Conan O'Brien Must Go,Conan O'Brien Must Go,series,,12,2.1,2024,2,6,comedy; reality,English - Audio Description; Spanish (Spain); English - Original; Polish; English,Swedish; Croatian; Estonian; Finnish; Lithuanian; French; Polish; English; Czech; Danish; Spanish (Spain); Serbian (Latin); Latvian; Romanian (Moldova); Dutch; Hungarian; Macedonian; Bulgarian; Portuguese; Slovenian,https://images.cdn.prd.api.discomax.com/QwXeu/4TbdBzh8-BFZyLCUQ.jpeg,https://play.hbomax.com/show/64e28eee-b3cc-4e08-b071-5a795b911dd2,"In this riotously funny travel series, Conan O'Brien experiences local cultures and connects with fans he previously met on his podcast."
Conan the Barbarian,Conan the Barbarian,movie,,16,8.5,1982,0,5,action; fantasy,Hungarian; English - Original; Polish; Czech,Romanian (Moldova); Czech; English; Bulgarian; Hungarian; Slovenian; Polish; Macedonian; Croatian; Serbian (Latin),https://images.cdn.prd.api.discomax.com/tSlcZ/UHcI-wVyBYUSZxxAA.jpeg,https://play.hbomax.com/movie/253c8f46-aa62-4c2e-874c-79f52114b30d,Arnold Schwarzenegger stars as the popular comic-book hero who battles evil and performs herculean feats of strength and bravery.
Concussion,Concussion,movie,,12,3.1,2015,0,2,drama,English - Audio Description; Czech; Hungarian; Polish; English - Original,Macedonian; English; Slovenian; Serbian (Latin); Czech; Romanian (Moldova); Bulgarian; Polish; Croatian; Hungarian,https://images.cdn.prd.api.discomax.com/rC6KE/iNjuvFj0mOI0PfMcg.jpeg,https://play.hbomax.com/movie/17668ed7-6b12-4fd9-954f-79d50323e3a5,Will Smith plays a forensic pathologist who discovers a dangerous neurological anomaly affecting NFL players. Based on a true story.
Confirmation,Confirmation,movie,,12,0.8,2016,2,4,drama,Czech; English - Original; Hungarian; Polish; French,Hungarian; Slovenian; Dutch; Portuguese; Czech; Estonian; Latvian; Lithuanian; Macedonian; Bulgarian; Serbian (Latin); English; Romanian (Moldova); Croatian; Polish; French,https://images.cdn.prd.api.discomax.com/g9lmO/1p8NXqp4uB-CBjdng.jpeg,https://play.hbomax.com/movie/a274f928-8ce7-4544-91d4-2cfa14ba269a,Kerry Washington and Wendell Pierce star in this riveting film about the explosive 1991 Clarence Thomas Supreme Court nomination hearings.
Conspiracy,Conspiracy,movie,,6,2.2,2001,7,9,drama,Hungarian; English - Original; Czech; Polish,Finnish; Romanian (Moldova); Serbian (Latin); Czech; Lithuanian; Latvian; Danish; Estonian; Portuguese; Slovenian; Macedonian; Hungarian; Polish; Swedish; Dutch; Bulgarian; Croatian; English; French,https://images.cdn.prd.api.discomax.com/bOhyV/YjEhZRcFPM-ZJo1sw.jpeg,https://play.hbomax.com/movie/16e1e931-e01f-452d-a2d8-676216e38eb2,"Kenneth Branagh and Stanley Tucci star in this story of the top-secret Nazi meeting to debate the merits of Hitler's ""Final Solution."""
Control,Control,series,,12,2.9,2022,4,6,comedy; drama; european,Polish - Original,Serbian (Latin); Macedonian; Slovenian; Croatian; English,https://images.cdn.prd.api.discomax.com/Ldj8F/v1khKJxuY0JVxndgA.jpeg,https://play.hbomax.com/show/4dd131cb-d4d6-497f-8027-ba03b1fd9482,Former lovers Natalia and Majka explore their personal feelings to reconcile their turbulent past.
Cooper's Treasure,Cooper's Treasure,series,,9,0.2,2017,1,8,adventure-survival,English - Original,Serbian (Latin); Croatian; Macedonian; Slovenian,https://images.cdn.prd.api.discomax.com/19XZi/ceswkvajP0O5OEx8A.jpeg,https://play.hbomax.com/show/e4efeeb2-d8ff-46fa-9a27-28f5a38b6120,Darrell Miklos pursues an astronaut's dream to find Columbus' sunken fleet.
Country Doctor,Country Doctor,movie,,9,0.2,2025,1,7,documentary,English - Audio Description; English - Original; Polish; Spanish (Spain); Russian,Spanish (Latin America) - CC; English - CC; English; Swedish; Portuguese; Dutch; Danish; Norwegian (Bokmål); French; Spanish (Spain); Bulgarian; Croatian; Czech; Hungarian; Macedonian; Latvian; Greek; Turkish; Lithuanian; Ukrainian; Estonian; Serbian (Latin); Romanian (Moldova); Polish; Slovenian; Finnish; Hebrew; Italian; German,https://images.cdn.prd.api.discomax.com/bw9SD/LQ3Vfbxu5Mh13AAhA.jpeg,https://play.hbomax.com/movie/2d57724f-47ad-45ec-8982-965d6c3675c3,A doctor in rural Oklahoma navigates the shifting landscape of America's healthcare system.
Coup!,Coup!,movie,,12,1.1,2024,0,7,comedy,English - Original; Polish; Hungarian; Czech,English; Hungarian; Croatian; Macedonian; Serbian (Latin); Slovenian; Bulgarian; Romanian (Moldova); Polish; Czech,https://images.cdn.prd.api.discomax.com/FZSlb/NkHbxvv4baZf_35Kg.jpeg,https://play.hbomax.com/movie/ba58d40f-cd63-4273-be1b-517e427af2c4,"During the Spanish Flu of 1918, a rebellious servant leads a revolt against his wealthy employer."
"Coyotl, Hero and Beast","Cóyotl, Héroe y Bestia",series,,16,2.9,2025,1,10,fantasy-sci-fi; action,Spanish (Latin America) - Original; English; Hungarian; Polish; Czech; Spanish (Spain) - Original; English - Original,French; Spanish (Spain); Portuguese; Norwegian (Bokmål); Danish; Swedish; Dutch; Finnish; English; Czech; Croatian; Macedonian; Slovenian; Serbian (Latin); Hungarian; Bulgarian; Romanian (Moldova); Polish; Greek; Estonian; Latvian; Russian; Lithuanian; Turkish; Italian; Hebrew; Ukrainian; German,https://images.cdn.prd.api.discomax.com/Yea5z/4sfD5fBioj_87EXAQ.jpeg,https://play.hbomax.com/show/812e5466-becc-4b1e-87f4-c9e39a301586,A young man with supernatural abilities uses his powers to protect his loved ones and his hometown from warring drug cartels.
Crack Addicts,Crack Addicts,series,,AL,0.1,2023,1,3,reality,English - Original,English - SDH; Slovenian; Macedonian; Croatian; Serbian (Latin); English,https://images.cdn.prd.api.discomax.com/UyArq/QmfUppCLaNVMEOjhQ.jpeg,https://play.hbomax.com/show/fc304e4d-7703-44c7-9a30-19aad5cd8322,"Through every snap, crack and pop, chiropractor Dr. Alessandra Colón and her one-of-a-kind staff provide relief when no one else can."
Craig Before the Creek,Craig Before the Creek,movie,yes,6,1.7,2023,68,2,family,Slovenian; Croatian; English - Original,,https://images.cdn.prd.api.discomax.com/ASdy9/kKlWHB66jl3vSqzGw.jpeg,https://play.hbomax.com/movie/c5045e2d-12ff-4874-96bf-3d8a6edb304b,"Craig, a new kid in town, sets off on a journey into the Creek to find a lost treasure."
Craig of the Creek,Craig of the Creek,series,yes,6,24.7,2017,6,40,kids-family,Croatian; Slovenian; English - Original,,https://images.cdn.prd.api.discomax.com/_PW6p/wbov-faHN4zOMbXYw.jpeg,https://play.hbomax.com/show/c706d141-342d-4fe5-8d60-638e42a908fa,Craig is a 10-year-old boy who spends his afternoons playing in the suburban wilderness known as the Creek.
